"district","county","subcounty","parish","year","school_name","ownership","gender","grade","value","location_code","facility_id"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Male","Division 4","5.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Female","Division 4","0.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Male","Division U","0.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Female","Division U","0.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Male","Division X","0.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2019","Kilanyi Muslim Primary School","Government","Female","Division X","0.0","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division 1","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division 1","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division 2","8.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division 2","6.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division 3","2.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division 3","2.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division 4","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division 4","1.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division U","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division U","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Male","Division X","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kichandi Primary School","Government","Female","Division X","0.0","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division 1","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division 1","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division 2","5.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division 2","4.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division 3","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division 3","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division 4","0.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division 4","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division U","0.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division U","1.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Male","Division X","0.0","D02S12","alinda-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kitonozi","2019","Alinda Primary School","Private","Female","Division X","0.0","D02S12","alinda-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division 1","1.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division 1","0.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division 2","21.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division 2","22.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division 3","2.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division 3","7.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division 4","2.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division 4","3.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division U","0.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division U","1.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Male","Division X","0.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2019","Kinumi Primary School","Government","Female","Division X","0.0","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division 1","10.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division 1","4.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division 2","25.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division 2","24.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division 3","9.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division 3","12.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division 4","2.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division 4","4.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division U","1.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division U","3.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Male","Division X","2.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2019","Kijunjubwa Primary School","Government","Female","Division X","0.0","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division 1","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division 1","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division 2","8.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division 2","13.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division 3","7.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division 3","8.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division 4","1.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division 4","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division U","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division U","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Male","Division X","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2019","Kitonozi Primary School","Government","Female","Division X","0.0","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division 1","0.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division 1","0.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division 2","6.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division 2","11.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division 3","1.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division 3","4.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division 4","1.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division 4","1.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division U","0.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division U","0.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Male","Division X","1.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Kyabaswa Primary School","Government","Female","Division X","0.0","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division 1","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division 1","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division 2","6.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division 2","7.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division 3","2.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division 3","3.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division 4","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division 4","1.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division U","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division U","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Male","Division X","0.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Isimba Primary School","Government","Female","Division X","1.0","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division 1","1.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division 1","0.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division 2","7.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division 2","7.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division 3","1.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division 3","3.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division 4","1.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division 4","0.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division U","0.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division U","0.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Male","Division X","0.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2019","Nyantonzi Primary School","Government","Female","Division X","2.0","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division 1","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division 1","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division 2","18.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division 2","14.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division 3","5.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division 3","8.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division 4","1.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division 4","1.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division U","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division U","3.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Male","Division X","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2019","Bokwe Primary School","Government","Female","Division X","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division 1","3.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division 1","0.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division 2","33.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division 2","30.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division 3","7.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division 3","17.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division 4","3.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division 4","3.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division U","0.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division U","2.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Male","Division X","5.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kikingura Primary School","Government","Female","Division X","0.0","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division 1","2.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division 1","0.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division 2","6.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division 2","5.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division 3","0.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division 3","3.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division 4","0.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division 4","0.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division U","1.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division U","0.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Male","Division X","1.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2019","Nyakatoogo Primary School","Government","Female","Division X","1.0","D02S05P03","nyakatoogo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division 1","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division 1","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division 2","7.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division 2","7.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division 3","5.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division 3","4.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division 4","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division 4","1.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division U","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division U","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Male","Division X","1.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2019","Nyambindo Primary School","Government","Female","Division X","0.0","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division 1","0.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division 1","0.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division 2","14.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division 2","5.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division 3","8.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division 3","5.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division 4","1.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division 4","1.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division U","0.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division U","0.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Male","Division X","0.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2019","Waiga Primary School","Government","Female","Division X","1.0","D02S05P02","waiga-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division 1","0.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division 1","0.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division 2","3.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division 2","10.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division 3","2.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division 3","3.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division 4","1.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division 4","1.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division U","1.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division U","0.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Male","Division X","0.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2019","Kitamba Primary School","Government","Female","Division X","0.0","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Male","Division 1","0.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Female","Division 1","0.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Male","Division 2","13.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Female","Division 2","2.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Male","Division 3","2.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Female","Division 3","6.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Male","Division 4","2.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Female","Division 4","0.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Male","Division U","0.0","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2019","Kahaara Primary School","Government","Female","Division U","0.0","D02S03P02","kahaara-primary-school_masindi"
